name,summary
commercial,Utiliser le logiciel à des fins commerciales
derivatives,Modifier le logiciel et créer des dérivés
distribute,Distribuer l'original ou ses dérivés
private,Utiliser de façon privée le logiciel
sublicense,Accorder ou étendre une licence aux utilisateurs du logiciel
patent,Pratiquer les droits de brevet des contributeurs sur le code
warranty,Placer une garantie sur le logiciel, gratuitement ou à titre onéreux
