name,summary
commercial,Use the software for commercial purposes
derivatives,Modify the software and create derivatives
distribute,Distribute the original and/or derivative works
private,Use the software without distributing it
sublicense,Grant or extend a license to the software
patent,Practice patent claims from contributors to code
warranty,Place warranty on software, for free or for a charge
